affliations,article_name,authors,doi,email_address,publishing_date,volume,type,author_id
,Solving the Torpedo Scheduling Problem,"Martin Josef Geiger,Lucas Kletzander,Nysret Musliu",https://doi.org/10.1613/jair.1.11303,,,Vol. 66 (2019),article,31
,Xeggora: Exploiting Immune-to-Evidence Symmetries with Full Aggregation in Statistical Relational Models,"Mohammad Mahdi Amirian,Saeed Shiry Ghidary",https://doi.org/10.1613/jair.1.11322,,,Vol. 66 (2019),article,10
,Recognizing Top-Monotonic Preference Profiles in Polynomial Time,"Krzysztof Magiera,Piotr Faliszewski",https://doi.org/10.1613/jair.1.11331,,,Vol. 66 (2019),article,17
,Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,"Stéphane Airiau,Elise Bonzon,Ulle Endriss,Nicolas Maudet,Julien Rossit",https://doi.org/10.1613/jair.5436,,,Vol. 60 (2017),article,39
,Probabilistic Description Logics for Subjective Uncertainty,"Victor Gutierrez-Basulto,Jean Christoph Jung,Carsten Lutz,Lutz Schröder",https://doi.org/10.1613/jair.5222,,,Vol. 58 (2017),article,47
,Kernel Contraction and Base Dependence,"Mehrdad Oveisi,James P. Delgrande,Francis Jeffry Pelletier,Fred Popowich",https://doi.org/10.1613/jair.5496,,,Vol. 60 (2017),article,50
,The Computational Complexity of Structure-Based Causality,"Gadi Aleksandrowicz,Hana Chockler,Joseph Y. Halpern,Alexander Ivrii",https://doi.org/10.1613/jair.5229,,,Vol. 58 (2017),article,52
,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,"Supriyo Ghosh,Pradeep Varakantham,Yossiri Adulyasak,Patrick Jaillet",https://doi.org/10.1613/jair.5308,,,Vol. 58 (2017),article,62
,Using Collective Behavior of Coupled Oscillators for Solving DCOP,"Allan R. Leite,Fabricio Enembreck",https://doi.org/10.1613/jair.1.11468,,,Vol. 64 (2019),article,93
,Conditional Simple Temporal Networks with Uncertainty and Resources,"Carlo Combi,Roberto Posenato,Luca Viganò,Matteo Zavatteri",https://doi.org/10.1613/jair.1.11453,,,Vol. 64 (2019),article,84
,Qualitative Spatial Logics for Buffered Geometries,"Heshan Du,Natasha Alechina",https://doi.org/10.1613/jair.5140,,,Vol. 56 (2016),article,29
,The IBaCoP Planning System: Instance-Based Configured Portfolios,"Isabel Cenamor,Tomás de la Rosa,Fernando Fernández",https://doi.org/10.1613/jair.5080,,,Vol. 56 (2016),article,34
,Datalog+- Ontology Consolidation,"Cristhian Ariel D. Deagustini,Maria Vanina Martinez,Marcelo A. Falappa,Guillermo R. Simari",https://doi.org/10.1613/jair.5131,,,Vol. 56 (2016),article,39
,Lazy Model Expansion: Interleaving Grounding with Search,"Broes De Cat,Marc Denecker,Maurice Bruynooghe,Peter Stuckey",https://doi.org/10.1613/jair.4591,,,Vol. 52 (2015),article,49
,A Study of Proxies for Shapley Allocations of Transport Costs,"Haris Aziz,Casey Cahan,Charles Gretton,Philip Kilby,Nicholas Mattei,Toby Walsh",https://doi.org/10.1613/jair.5021,,,Vol. 56 (2016),article,24
,An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,"B. Bosansky,C. Kiekintveld,V. Lisy,M. Pechoucek",https://doi.org/10.1613/jair.4477,,,Vol. 51 (2014),article,43
,"A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video","Haonan Yu,N. Siddharth,Andrei Barbu,Jeffrey Mark Siskind",https://doi.org/10.1613/jair.4556,,,Vol. 52 (2015),article,47
,A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,"D. Zilli,O. Parson,G. V. Merrett,A. Rogers",https://doi.org/10.1613/jair.4434,,,Vol. 51 (2014),article,10
,BDD Ordering Heuristics for Classical Planning,"P. Kissmann,J. Hoffmann",https://doi.org/10.1613/jair.4586,,,Vol. 51 (2014),article,28
,Tutorial on Structured Continuous-Time Markov Processes,"C. R. Shelton,G. Ciardo",https://doi.org/10.1613/jair.4415,,,Vol. 51 (2014),article,32
,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,"G. Stefanoni,B. Motik,M. Kroetzsch,S. Rudolph",https://doi.org/10.1613/jair.4457,,,Vol. 51 (2014),article,28
,On Minimum Representations of Matched Formulas,"O. Cepek,S. Gursky,P. Kucera",https://doi.org/10.1613/jair.4517,,,Vol. 51 (2014),article,43
,Using Meta-mining to Support Data Mining Workflow Planning and Optimization,"P. Nguyen,M. Hilario,A. Kalousis",https://doi.org/10.1613/jair.4377,,,Vol. 51 (2014),article,69
,No Agent Left Behind: Dynamic Fair Division of Multiple Resources,"I. Kash,A. D. Procaccia,N. Shah",https://doi.org/10.1613/jair.4405,,,Vol. 51 (2014),article,59
,Iterative Plan Construction for the Workflow Satisfiability Problem,"D. Cohen,J. Crampton,A. Gagarin,G. Gutin,M. Jones",https://doi.org/10.1613/jair.4435,,,Vol. 51 (2014),article,38
,Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,"A. G. Cohn,S. Li,W. Liu,J. Renz",https://doi.org/10.1613/jair.4513,,,Vol. 51 (2014),article,39
,Optimal Scheduling of Contract Algorithms for Anytime Problem-Solving,"A. Lopez-Ortiz,S. Angelopoulos,A. M. Hamel",https://doi.org/10.1613/jair.4360,,,Vol. 51 (2014),article,20
,Push and Rotate: a Complete Multi-agent Pathfinding Algorithm,"B. de Wilde,A. W. ter Mors,C. Witteveen",https://doi.org/10.1613/jair.4447,,,Vol. 51 (2014),article,93
,Scoring Functions Based on Second Level Score for k-SAT with Long Clauses,"S. Cai,C. Luo,K. Su",https://doi.org/10.1613/jair.4480,,,Vol. 51 (2014),article,46
,A Novel SAT-Based Approach to Model Based Diagnosis,"A. Metodi,R. Stern,M. Kalech,M. Codish",https://doi.org/10.1613/jair.4503,,,Vol. 51 (2014),article,38
,Verification of Agent-Based Artifact Systems,"F. Belardinelli,A. Lomuscio,F. Patrizi",https://doi.org/10.1613/jair.4424,,,Vol. 51 (2014),article,38
,Distributed Heuristic Forward Search for Multi-agent Planning,"R. Nissim,R. Brafman",https://doi.org/10.1613/jair.4295,,,Vol. 51 (2014),article,88
,Automaton Plans,"C. Bäckström,A. Jonsson,P. Jonsson",https://doi.org/10.1613/jair.4391,,,Vol. 51 (2014),article,48
,Entrenchment-Based Horn Contraction,"Z. Zhuang,M. Pagnucco",https://doi.org/10.1613/jair.4430,,,Vol. 51 (2014),article,30
