Francis Jeffry Pelletier,"University of Alberta, Philosophy, Faculty Member",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Fred Popowich,"Professor of Computing Science, Simon Fraser University",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Gadi Aleksandrowicz,"IBM Research, Haifa",The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Hana Chockler,King's College London,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Joseph Y. Halpern,"Professor of Computer Science, Cornell University",The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Alexander Ivrii,Unknown affiliation,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Supriyo Ghosh,Los Alamos National Laboratory,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Pradeep Varakantham,"Associate Professor, Singapore Management University",Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Yossiri Adulyasak,HEC Montréal and GERAD,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Patrick Jaillet,"Dugald C. Jackson Professor, EECS, MIT",Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Allan R. Leite,Physicist at Federal University of Para,Using Collective Behavior of Coupled Oscillators for Solving DCOP,10.1613/jair.1.11468,Vol. 64 (2019)
Fabricio Enembreck,Pontificia Universidade Católica do Paraná,Using Collective Behavior of Coupled Oscillators for Solving DCOP,10.1613/jair.1.11468,Vol. 64 (2019)
Carlo Combi,"Professor of Computer Science, University of Verona",Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Roberto Posenato,"Associate Professor of Computer Science, University of Verona (Italy)",Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Luca Vigano,"Professor of Computer Science and Head of the Cybersecurity Group, Department of Informatics, King's",Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Matteo Zavatteri,University of Verona,Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Heshan Du,University of Nottingham Ningbo China,Qualitative Spatial Logics for Buffered Geometries,10.1613/jair.5140,Vol. 56 (2016)
Natasha Alechina,"Department of Information and Computing Sciences, University of Utrecht",Qualitative Spatial Logics for Buffered Geometries,10.1613/jair.5140,Vol. 56 (2016)
Isabel Cenamor,Universidad Carlos III de Madrid,The IBaCoP Planning System: Instance-Based Configured Portfolios,10.1613/jair.5080,Vol. 56 (2016)
