author_name,affliations,article_title,doi,volume
Martin Josef Geiger,"University of the Federal Armed Forces Hamburg, Germany",Solving the Torpedo Scheduling Problem,10.1613/jair.1.11303,Vol. 66 (2019)
Lucas Kletzander,,Solving the Torpedo Scheduling Problem,10.1613/jair.1.11303,Vol. 66 (2019)
Nysret Musliu,"Priv. Dozent and Senior Scientist, Vienna University of Technology",Solving the Torpedo Scheduling Problem,10.1613/jair.1.11303,Vol. 66 (2019)
Mohammad Mahdi Amirian,"Department of Electrical and Computer Engineering Isfahan University of Technology Isfahan, Iran",Xeggora: Exploiting Immune-to-Evidence Symmetries with Full Aggregation in Statistical Relational Models,10.1613/jair.1.11322,Vol. 66 (2019)
Saeed Shiry Ghidary,"Amirkabir University of Technology, Tehran, Iran",Xeggora: Exploiting Immune-to-Evidence Symmetries with Full Aggregation in Statistical Relational Models,10.1613/jair.1.11322,Vol. 66 (2019)
Krzysztof Magiera,,Recognizing Top-Monotonic Preference Profiles in Polynomial Time,10.1613/jair.1.11331,Vol. 66 (2019)
Piotr Faliszewski,"AGH University of Science and Technology, Krakow, Poland",Recognizing Top-Monotonic Preference Profiles in Polynomial Time,10.1613/jair.1.11331,Vol. 66 (2019)
StÇphane Airiau,Strategic Sourcing at Airbnb,Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Elise Bonzon,Paris Descartes University,Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Ulle Endriss,"Institute for Logic, Language and Computation University of Amsterdam",Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Nicolas Maudet,"LIP6, Sorbonne UniversitÇ",Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Julien Rossit,Unknown affiliation,Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Victor Gutierrez-Basulto,"University of Bremen, Faculty of Mathematics, Computer Science",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Jean Christoph Jung,"University of Bremen, Institute of Computer Science, Germany",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Carsten Lutz,"University of Bremen, Germany",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Lutz Schrîder,"Professor of Computer Science, Friedrich-Alexander-UniversitÑt Erlangen-NÅrnberg",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Mehrdad Oveisi,The University of British Columbia,Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
James P. Delgrande,"Simon Fraser University, Burnaby, Canada",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Francis Jeffry Pelletier,"University of Alberta, Philosophy, Faculty Member",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Fred Popowich,"Professor of Computing Science, Simon Fraser University",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Gadi Aleksandrowicz,"IBM Research, Haifa",The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Hana Chockler,King's College London,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Joseph Y. Halpern,"Professor of Computer Science,†Cornell University",The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Alexander Ivrii,Unknown affiliation,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Supriyo Ghosh,Los Alamos National Laboratory,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Pradeep Varakantham,"Associate Professor,†Singapore Management University",Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Yossiri Adulyasak,HEC MontrÈal†and GERAD,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Patrick Jaillet,"Dugald C. Jackson Professor, EECS,†MIT",Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Allan R. Leite,Physicist at†Federal University of Para,Using Collective Behavior of Coupled Oscillators for Solving DCOP,10.1613/jair.1.11468,Vol. 64 (2019)
Fabricio Enembreck,Pontificia Universidade CatÛlica do Paran·,Using Collective Behavior of Coupled Oscillators for Solving DCOP,10.1613/jair.1.11468,Vol. 64 (2019)
Carlo Combi,"Professor of Computer Science,†University of Verona",Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Roberto Posenato,"Associate Professor of Computer Science,†University of Verona†(Italy)",Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Luca Vigano,"Professor of Computer Science and Head of the Cybersecurity Group, Department of Informatics, King's",Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Matteo Zavatteri,University of Verona,Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Heshan Du,University of Nottingham Ningbo China,Qualitative Spatial Logics for Buffered Geometries,10.1613/jair.5140,Vol. 56 (2016)
Natasha Alechina,"Department of Information and Computing Sciences,†University of Utrecht",Qualitative Spatial Logics for Buffered Geometries,10.1613/jair.5140,Vol. 56 (2016)
Isabel Cenamor,Universidad Carlos III de Madrid,The IBaCoP Planning System: Instance-Based Configured Portfolios,10.1613/jair.5080,Vol. 56 (2016)
Tom†s de la Rosa,"Professor of Petrology and Geochemistry, CIQSO,†Universidad de Huelva",The IBaCoP Planning System: Instance-Based Configured Portfolios,10.1613/jair.5080,Vol. 56 (2016)
Fernando Fern†ndez,University Carlos III de Madrid,The IBaCoP Planning System: Instance-Based Configured Portfolios,10.1613/jair.5080,Vol. 56 (2016)
Cristhian Ariel D. Deagustini,Universidad Nacional del Sur | UNS ∑ Institute for Computer Science and Engineering,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Maria Vanina Martinez,National Scientific and Technical Research Council | conicet ∑ ICIC CONICET- UNS - Instituto de Ciencias e IngenierÌa de la ComputaciÛn,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Marcelo A. Falappa,Universidad Nacional del Sur | UNS ∑ Departamento de Ciencias e IngenierÌa de la ComputaciÛn,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Guillermo R. Simari,Universidad Nacional del Sur | UNS ∑ Departamento de Ciencias e IngenierÌa de la ComputaciÛn,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Broes De Cat,"Senior product analist, OM Partner",Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Marc Denecker,Prof. at KU-Leuven,Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Maurice Bruynooghe,"Professor Em. of Computer Science, KULeuven",Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Peter Stuckey,"Faculty of Information Technology, Monash University",Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Haris Aziz,UNSW Sydney and Data61 CSIRO,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Casey Cahan,University of Auckland,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Charles Gretton,The Australian National University,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Philip Kilby,CSIRO Data61,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Nicholas Mattei,"Assistant Professor, Tulane University",A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Toby Walsh,"Professor, TU Berlin, UNSW, and Data61",A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
B. Bosansky,"Assistant Professor, Dept. of Computer Science, FEE, Czech Technical University in Prague",An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
C. Kiekintveld,University of Texas at El Paso,An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
V. Lisy,"Professor of Physics, Technical University of Kosice, Slovakia",An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
M. Pechoucek,"Professor of Computer Science, Czech Technical University, Head of Agent Technology Center",An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
Haonan Yu,"Research Scientist, Horizon Robotics","A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
N. Siddharth,"Senior Researcher, University of Oxford","A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
Andrei Barbu,"MIT, CSAIL","A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
Jeffrey Mark Siskind,Purdue University,"A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
